Sign,Object,Interpretant
makosteph,katiecouric,Replies to
cassiezinga,walkingdead_amc,Mentions
leeannellis3,wwwbigbaldhead,Mentions
leeannellis3,laurencohan,Mentions
leeannellis3,danaiguriratwd,Mentions
leeannellis3,steveyeun,Mentions
leeannellis3,andrewjlincoln,Mentions
leeannellis3,walkingdead_amc,Mentions
leeannellis3,katiecouric,Replies to
jacob_luberda,walkingdead_amc,Mentions
marinaolivieri2,walkingdead_amc,Mentions
marinaolivieri2,michellebuteau,Mentions
marinaolivieri2,bestweekever,Mentions
marinaolivieri2,vh1,Mentions
briannamarie_v,walkingdead_amc,Replies to
good_year92,walkingdead_amc,Replies to
hippiechickie78,walkingdead_amc,Mentions
hippiechickie78,nikoledaisy,Replies to
shill4health,walkingdead_amc,Mentions
lovatic4everrrr,walkingdead_amc,Mentions
lovatic4everrrr,kylegallner,Mentions
lovatic4everrrr,walkingdead_amc,Mentions
lovatic4everrrr,kylegallner,Replies to
realflytye,walkingdead_amc,Mentions
masakofukuisyd,walkingdead_amc,Mentions
masakofukuisyd,taketwo,Mentions
masakofukuisyd,kpcc,Mentions
emiliesackett,walkingdead_amc,Replies to
malowc,walkingdead_amc,Mentions
malowc,taketwo,Mentions
malowc,kpcc,Replies to
vh1,michellebuteau,Mentions
cristina_c_go,michellebuteau,Mentions
vh1,bestweekever,Mentions
cristina_c_go,bestweekever,Mentions
vh1,walkingdead_amc,Mentions
cristina_c_go,vh1,Mentions
cristina_c_go,walkingdead_amc,Mentions
timeofmike,bdisgusting,Mentions
